,cons,pros
52,1. Nothing as of now.,1. Challenging Work\r\n2. Good Facilities\r\n3. Awesome Mentors from renowned companies\r\n4. Employee Friendly
53,"but cannot enter in to on role ,no appreciation or team outings",free food and flexible time
54,Nothing much. It is a pretty good place to work.,It is one of the good places where you can learn and improve your skills and provides a platform to present your thoughts
55,nothing i can think of,work life balance is very good
56,No cons as far as I remember,Free food\r\nAwesome work environment\r\nNice management
57,"Lot of work, 10 times more than the package they provide.","Free Food, Free transport, Good package if your fresher."
58,Only thing is we cannot meet HR Face to Face all through Emails.,"Well Organized , Supporting Managers &amp; Team Mates."
59,It doesn't give you support and does not care for it's customers.,It gives you good offer.
60,We are still finding our feet in terms of our work Culture. It's not the same what it used to be when it comes to speed of execution (to a large extent in a good way) but still 'agility' is our key strength and we can't let go of it.,Are you searching for a meaningful career?\r\nJoin if you want to do something meaningful in life! Truly a place where what you do has an impact on your community in a direct way.  You're given the space to do things your own way and take risks and help the company move forward.
61,Non so far. Hope there won't be in the future as well.,*Great work environment.\r\n*Freedom to manage your work.\r\n*Flexibility \r\n*Respect from the leaders.\r\n*Transparency
62,Less opportunities to grow with the firm,Great place to work with
63,long hrs\r\northodox policies of the hr,Good Work environment\r\ngood salary gives
64,Slow growth.\r\nSudden process changes.\r\nMonotonous work.,"Exciting work pace.\r\nChallenging work. Semi technical, skills like SQL are added advantage.\r\nGood pay.\r\nFree food, 2 way cab + perks like 3k credits for cabs, insurance worth 7.5L.\r\nManagement cares for you!"
65,none that I could find,"Purely tech-enabled company\r\n- Brilliant co-workers\r\n- Well structured process\r\n- Great learning and growth opportunities\r\n- Great perks\r\n- Coolest office\r\nI literally never got a negative vibe while working in the office, all colleagues are highly energetic and understanding."
66,- none that I could find,"- Purely tech-enabled company\r\n- Brilliant co-workers\r\n- Well structured process\r\n- Great learning and growth opportunities\r\n- Great perks\r\n- Coolest office\r\n\r\nI literally never got a negative vibe while working in the office, all colleagues are highly energetic and understanding."
67,"Heavy workload at times, not always though","The best work environment, free food and snacks :p, free cabs and Uber Credits ❤️"
68,Silo culture and Surprise organizational decision which suffocates the employee on his job security.,"Freedom of work, Young and energetic team, opportunity to explore the innovative thoughts and ideas, Good Human Resource management, facilities to employees and good work life balance."
69,Lot of politics\r\nManagement favours wrong people\r\nGrowth is slow,"Good team, Perks are cool, Office is spacious, Engineering team is fantastic"
70,the strategies used by company are based on the work done by other companies they are not at all applying their brains.,"Work timing flexibility, no need to go to office is u r in sales. just go directly for meetings. nice incentives.  Nice office and supportive peers."
71,salary and promotion. incentive term period is not proper,great experience to work on global platform
72,no cons yet to my notice,Good Team and Helpfull supportive Managers
73,"nothing as of now, everything is fine",supportive central team with motivation
74,"No week off, lot of politics.","No work pressure,free food and cab"
75,Formal work environment\r\nEmployees to worried to let their guard down,Good pay\r\nMany perks\r\nSystematic approach\r\nRespect for time
76,- Sometime work is too much,- High Impact Job\r\n- Lot of Autonomy\r\n- Great Brand Value\r\n- Perks are pretty good\r\n- Very Smart/High Quality People\r\n- Strong Global Connect
77,The con would be that since its startup the process and everything else is very unstable and highly volatile also there working patern and style and are defined and very messy all over.,"This company has Great Environment and Good opportunities, Something additionally good about this place is  Salary and the Benefits they provide and the fresh culture they have."
78,For Field work.   Nice.           .......,Good payment timing   good teamwork
79,Nothing much negative about Uber.,Best place to work and best place to learn.
80,"As of now I have 0 cons with the company, wish it remains the same as I love working in here.",The work environment is awesome. We do have flexibility as in the working hours and shifts.
81,"It is still in a startup mode, if you are looking for MNC culture not the place","Lots to learn, great pay, awesome office"
82,There are none for this organisation.,BEST people to work with
83,Not Applicable/ No major cons found,Very good ambience and working culture\r\nGood managers and Colleagues\r\nGood facilities like Credits and Goodies
84,"No promotions  as fast , growth is sometimes in challange and some juniors could be lost in beginning ..",Organising social parties well and no compromise in cost at all..
85,-Bleak chances of promotion\r\n-Be ready to work yourself off!,-Amazing work environment\r\n-Always hustling\r\n-Great platform for learning and growing\r\n-Family away from the family
86,Work life balance is not that good.\r\nAlways sprinting.,Freedom to work on new things and explore unknown territories\r\nGreat learning opportunities.\r\nSmart team and management.
87,"1. Micromanaging, which sometimes feels very suffocating\r\n2. Too frequent change in working policies","My association with Uber has been great, they has an open and great working culture, open to new ideas and make the employee feel comfortable. The environment is competitive and challenging and lot of hustling goes around each day."
88,Lack of proper HR structure. Extremely flat teams in a large set up leads to chaos and lack of proper career path for the employees.,Exciting and fast paced work. Lots of challenging problems to solve.
89,Pay scale although other benefits should cover it. Slower than Indian competitor but takes a higher commitment to quality.,"Aggressive Work Culture, Encouragement for growth, Room for experimentation, Company investing back in you"
90,"Rotational shifts and offs, with not enough leave days",Really fast growth if you are willing to go the extra mile
91,"tiresome work, high expectations from leadership, tools yet to be modified, transparency is feeble, less motivation by managers and very little interaction with the leadership team","Work culture, food, transport, co - workers, management, perks, work place, fun at work, strong team leads and managers, values and obsession for betterment"
92,Not much growth and pay could be more,Lots of benefits and perks
93,Nothing bad to mention about.,Amazing perks.\r\nLove the work environment.\r\nCrazy food.\r\nLovely colleagues.
94,"Everything is streamlined, Nothing to say more.","Good place to work, nice environment and culture, Team support"
95,Culture should be stringently followed,Lot of opportunities to explore\r\nLearning new things related to the projects & management
96,A bit downside on work life balance but its currently being worked on,"Extremely talented peers, can learn a lot"
97,Micromanagement. Pressure. Not great colleagues.,Great management. Freshers get an amazing exposure. Good food and ambiance.
98,Management\r\nHierarchy\r\nNon transparent  \r\nHeavy Politics\r\nOrganization Run by single Person,Perks\r\nFriendly Workplace\r\nGreat Colleagues \r\nEasy Commute\r\nTable Tennis
99,1) Work can get really hectic at times.,1) Everyone is treated in the same way in the office.\r\n2) Work and free time are managed in a very nice way.\r\n3) Everyone is very approachable.
100,None as of now. Minor problems are always addressed immediately.,"Freedom to work, good food at cafeteria and friendly management"
101,- Huge growth in headcount: High growth led to confusion on ideal growth trajectories\r\n- Competitive Culture: Appraisals and promotions were fairly cut throat and visible to weed out star performers and put pressure on other employees\r\n- Autonomy: Initial autonomy over time reduced as more central and management oversight layers were added,"- Exciting Products: Some of the most exciting problems to work on in one if the most exciting markets\r\n- Smart employees: Many over achievers, is a great learning environment\r\n- Take care of employees: On the whole they do take care of their employees, financially and in other respects\r\n- Mobility: Fairly easy to move to other geographies or other teams"
102,Super quick decision making leads to anxiety before results,"Close to Business, \r\nChallenging problems and freedom to solve them.\r\nGreat team.\r\nTruly global product and brand."
103,Rotational shifts will take a toll on your body and your daily regimen. This might hamper your productivity if you're working just because it is your organisation business requirement.,Work culture\nPeer group\nWork-life balance can be possible only if you know how and when to work\nPerks
104,work life balance is not the best,Superpumped and lots of valuable work
105,a bit slow in hiring,a great exposure to start up world
106,"Office politics is too much\r\nnon cooperative collegues , very selfish sometimes\r\nWorking hours is pathetic\r\nlow wages",1.Great Place to learn\r\n2.Helpful seniors
107,"As the company is settling down, the growth opportunities as a individual is slowing up.","Amazing place to work! Company has grown ten folds and is still growing. If you believe that you are the part of the system then you'll definitely grow here, coz UBER is one hell of a startup. \r\n\r\nSalary - for freshers is amazing."
108,Nothing such only that you need to have a sense of driver empathy.,Hustle is what drives UBER.
109,"- None as such. If there is some issue, top management is very keen to hear and solve it.",- Top notch work quality\r\n- Extremely smart colleagues\r\n- Very good salary\r\n- Awesome incentives & perks\r\n- Great growth potential\r\n- Travel to San Francisco for training
110,Has not spend much time in India. Have also to concentrate in the smaller cities for business growth.,It is a professional organisation. Doing the business well in India. There is ample growth opportunity.
111,A lot of experimentation is done constantly\r\nOnce a startup now becoming more corporate,Work culture\r\ndelicious food :D\r\nFree uber rides!
112,working environment and not  a technical job,nice working at uber and freindly enironment
113,"kids with spreadsheet, making un-wise decissions",Excellent opportunity to share best practices
114,Improvement in everything is required from time to time . So I'd like to say everything can be improved slowly to make the company newer day by day.,Such a friendly company which doesn't force and disappoint its employees. Many opportunities to grow. Awesome please to get into
115,Too fast for the people who are too slow.,Yesterday is History and Tomorrow is the vision. That is what Uber is about. Always Hustlin' to find a way to become better with lot of empowerment to employees.
116,As of now there is no such thing which i felt is not good or lacking here :) :),Uber is really a awesome place to work with the environment that culture and mainly the FREEDOM TO WORK ACCORDING  TO OUR CONVENIENCE.\r\nAll the employees here are super friendly and there is no differentiation between leads and COS that the most coolest  thing.
117,"1. if you are used to a very structured and predictable workplace, then this may not be for you\r\n2. you have to be a total self-starter and self-completer too (everyone is as overworked as you!)","I came to Uber with 6yrs of sellside equities experience, and I was very apprehensive at first. But my apprehensions were misplaced for the following reasons:\r\n1. Super flexibility...everyone is allowed to work at the pace, style, method they chose to. Your deliverable is water-tight...but how you get there is your call.\r\n2. Data-intense .... all decisions, meetings etc are backed by data, which means that no one uses their seniority to bulldoze their ideas through. Also meetings are super-productive, I dont think in 3months I have done any pointless or inconsequential discussions\r\n3. very aggressive, fast growing and fast moving place.....which means there is no room for pointless hierarchy...if you have a great idea, go ahead discuss , execute and own it."
118,- Work Life balance\r\n- Prioritisation,- Autonomy\r\n- Quality of Peers\r\n- Mobility within the org\r\n- Speed of execution
119,The company is still in its adolescent stage ( which is more than often a good thing).,"Amazing work culture, Convenient shift timings, Night shift allowances, Free meals, snacks, free transport, Additional free rides, brilliant managers!"
120,"Slowly moving away from start-up culture, so in some areas things getting delayed\r\nAttitude issues at the lower level management which is not seen in top management\r\nsome people do not fit to the culture cause hindrance to processes","Empowerment in decision making, accountability for each actions, great team to work with \r\nSuper cool managers, work-life balance\r\nDynamic work culture"
121,"Direct exposure with partners, employees must know how to deal with them.",1. Amazing workplace\r\n2. Encouraging heads\r\n3. Liberty to contribute to strategies and plans\r\n4. Innovative ideas are welcomed\r\n5. Great teams to work\r\n6. Flexible timings
122,"- Not much induction, you are Sea literally in first few weeks\r\n- Older Uber folks generally don't think person need time to adjust and things come at you very fast",- Super fast ride in one of the finest company of its era\r\n- Very smart people who are really passionate about things they are doing\r\n- Lot of autonomy to local teams/regions- Not typical HQ driven company\r\n- Amazing onboarding program called Uberversity where all nubers from Globe come and participate at HQ (SFO)
123,Coordinating with driver's maintaining fleet's,I worked with ola cabs for 2 years in operations coordinator
124,More of driver centric profile \r\nWill hire through 3rd party and it's difficult to come on uber payroll as when and then there's a opening they will hire people from outside mostly \r\nLess pay,Got to learn lot of non technical and management skills being working at transactional level
125,Change word anytime.to handle the process in Mumbai management is not good pls change the management team.and give more space to Uber dost to handle the process,Prossess is good and give us to even money but need to more improvement in apps
126,Pros are at the higher side so I have not found any Cons till date. Hope I will not come across any.,From the day I have joined I have a great feeling that I have got an excellent platform to exhibit my abilities and grow as fast as I can. #Super-pumped #Enthusiastic
127,nothing. work pressure is there but that will be there in startup,great place to work. great colllegues and learning experience
128,There should be more focus on training people to acquire more skills,"Awesome people, managers, work environment, great food and snacks, fast pace life, free Uber rides to work and for personal uses."
129,Its helpful for to me to work as team leader or supervisor in uber,"I've worked as sales manager and also team leader so,I thought uber is a growing and making goodwill in society."
130,too much importance to degree and institution,great workplace friendly environment extraordinary facilities.
131,1) No work life balance\n2) Management problem where your made to work alot but your growth is limited due to your bad manager.,1) Fast paced enviorment \n2) Amazing and smart people where you can learn alot\n3) Imense scale and rapidly growing company.
132,To be Frank Didn't discovered yet.,Uber Cool life working in Next Technology Gaint.\r\n\r\nFastest Growing Company.
133,"There is no growth for people who work has contract , they take lote of work from the contract people they dont recognize in the from of perks .",Company has good over all view .
134,no increment of salary nor of designation,"no work pressure, no formals, just enjoy your time"
135,"1) Not for people who like to take it easy (my way of saying that while the work-life balance is great for me personally, not everyone may be cut out for it)\r\n2) Organization in constant flux, which means that there are a lot of moving pieces to navigate",1. Super-smart and superpumped people\r\n2. Always make big and bold bets\r\n3. Tackling a tangible real-world problem that has the potential to change the world as it stands currently\r\n4. Steep learning curve and great growth opportunities
136,Sometimes you are stretched to long working hours.\r\nPay is not as per the role requirement.\r\nNo work life balance.\r\nSlow growth.,"You are given the responsibilities from the day 1 of your joining. \r\nYou will get to know the functioning of such big company\r\nYou will be managing too much hustle on your own. Brings you out of your comfort zone.\r\nYour ideas are valued and executed.\r\nYou are expected to solve new problems on your own.\r\nCool management , cool culture, no restrictions, intelligent colleagues, amazing perks ,love from drivers community."
137,There are no such disadvantaged well there are very quite few.\r\nIt's just not that everyone is aware of UBER so there is a lot of advertising should be done so that you people create an awareness to our customers.,"The advantages of UBER is basically it saves time and it ain't time consuming, it makes life easier for every individual and it's very safe especially for the ladies to travel around the city. The best part is you don't have to walk about 1 or 2km to find a taxi it just arrives wherever you are. And the rates are quite worth it for a peaceful ride to your destination."
138,"The work is such, that you have to be good at managing your time, or you would not be able to take time out for yourself.","Work Atmosphere. You are inspired to do your best, and to move forward. The hierarchy is always available and everyone is working towards one common goal, to be able to provide the best service. The team is its biggest strength"
139,Nothing as such. Company has a bit of politics and the people with personal contact with seniors  have an edge.,Growth oriented  environment and culture to work in. \r\nThe interview process is really good as it is unbiased and it is based on real life business situations.
140,"Work life balance goes for a toss. You will have to work hard and smartly to hit that sweet spot. \r\n\r\nEveryone at Uber is way smarter than your company's top performers and this comes with a challenge of it's own - managing these super smart people. This is still WIP. \r\n\r\nDisparity in salary, be sure to negotiate hard on salary.","People. Work. Independence. Culture. Brand.\r\n\r\nJoin at any level and you can be sure to go through a steep learning curve. One of the few companies that highly metrics, tech and ops driven. \r\n\r\nThe reason I love my work is because of the people at Uber, you will work with some of the smartest people in the world. Yes, the world. Everyone brings in something unique and valuable to the table, this is something hard to find in many other companies. \r\n\r\nWork & Independence: You can literally work on anything you want as long as you're taking care of your core responsibilities. It's all about problem solving and ownership, you're respected if you do things beyond your scope of work and solve problems. No day is a dull day. It's almost scary the amount of independence you get at Uber.\r\n\r\nCulture: One of the few companies that focuses a lot on maintain the right work culture and ensure new recruits are well trained on the same. \r\n\r\nBrand: Get Uber on your resume and you'll be a hot commodity not to mention you'll always be centre of attention at parties you'll go to."
141,Haven't come across any cons so far.,A very good work culture. Uber values your presence. The most intense one I must say.
142,"Managing the work-life balance, some might find it tough but I find working here a compelling proposition.",Work is challenging and you're required to work at the best of your potential that keeps you on your toes all the while. Best part? - Your inputs can actually make a difference to the way things are done!
143,Too early to comment\r\nMany policies and positions need to be created,New workplace\r\nNewer opportunities\r\nGood atmosphere\r\nProper operations\r\nMix of culture very well
144,Haven't come across any cons so far. I'm writing this to make it 20 words minimum.,A very good work culture. Uber values your presence. \r\n\r\nGood Packages and takes care of the employees really well. The most intense one I must say.
145,work-life balance. not for people who value relationships,flat structure. extremely smart co-workers and team.
146,"You will always find yourself checking mails, replying to them and staying on top of things. The Employees end up working on weekends and public holidays too because a fast paced environment like Uber's demands constant access to mails and availability to complete an urgent task on any day of the week/month/year. It can be exhilarating for some, but overwhelming for some others.",Very interesting profile. The job requires a lot of on-ground work and there is new challenge everyday. The work environment is very fast paced and there is so much to learn given the few number of employees. Some of the smartest people from all over the country work with you to set you up for success in the company.
147,Worklife Balance can be improved.,"True entrepreneurial culture, passionate & innovative colleagues. Extremely flat organisation structure."
148,The work involves alot of time and talking to drivers.,Lots of responsibility and good package
149,No work / life balance - 16 hour days are common\r\n\r\nQuality of managers is surprisingly bad over the past few months and as a result growth of team members has been severely impacted.,It's amazing to see the product you work on and market start becoming viral and actually changing lives and transportation patterns around you.\r\n\r\nExtremely smart people who are super motivated to make Uber the greatest company on Earth!
150,Long Work Hours apart from that there is not much to complain about.,"Good Exposure, Work culture is excellent. Overall Remuneration is good"
151,Mainly busy Thursday-Sunday \r\nCan not see where you are delivering to until after accepted and you have picked up food.,"Decent tips, make my own schedule, and friendly customers and restaurant staff."
152,Limited growth possibility with the role.,Good colleagues and office vibe.
153,- Uber is doing so much and joining from a startup company was a bit overwhelming\r\n- Hearing and seeing people leave the company (which is very normal for companies at this size and age) was a little hard for a new hire such as me,"- Hiring process: very fast, I got an offer in the same week as my interview and from there it was just a matter of when I want to join\r\n- Revamped culture: I don't see any signs of what I use to hear in the media about the bad culture. I see the whole company pushing the new norms and focusing on diversity and inclusion\r\n- The mission: Uber has a great potential to letterly move the world\r\n- Talent in the company: I'm yet to see someone who is not well qualified for their role and I have learned so much from my teammates already\r\n- Transparency: the management is always eager to hear what employees have to say and respond to all the hard questions that they ask. this definitely was not the case in my previous company when it came to compensations and financials of the company\r\n- Compensation: Very competitive and I love the package structure they have with cache and stock bonuses."
154,The career path is not very clear but you see many growth opportunities at the same time (like changing teams or locations),"Great salary, perks, and working conditions. The team is very welcoming and talented."
155,"Hours/amount of work can sometimes be overwhelming. Nothing crazy, but just slightly more than preferred, at times.","Competitive salary and compensation, very generous perks (amazing maternity/paternity leave, health benefits, opportunities to invest in your career).\r\n\r\nMeaningful work that touches millions of people's lives every day."
156,It's really difficult to ask for courses that are not imparted by the company.\r\nDoesn't have a graduate program,"It's very fun, multicultural, has free food and snacks, there a lot team bonding activities, has a good workbalance"
157,there are no 401k contributions and the pay is less competitive than other tech companies in NYC,"Free food and uber credits are pretty awesome.  The culture is great, my role is very autonomous.  There are lots of activities and top-notch benefits  Uber offers.  And most importantly there is a lot of room for growth more than I've seen in any other company"
158,Coolness is not in the uber vocabulary,Cool way to go place in a nice area
159,There are really no major downsides to join the new São Paulo Tech Center office for engineers looking to make a difference.,"Although Uber is now a public global company with thousands of engineers and employees, there's still a start-up mentality in which you have lots of autonomy, can move fast and question the status-quo. The internal culture is extremely healthy with high energy and very intelligent people all around. The office in São Paulo is amazing and the food is great."
160,"Rest-and-vest behavior for lots of senior employees, process for performance/promotion very inefficient, lots of inexperienced managers.","Awesome culture, excellent WLB, strong engineering with lots of interesting issues to solve for our users and for our internal teams."
161,"The job can be time consuming, but not to an extreme.","The people are understanding and helpful. The perks (lunch is provided, snacks and drinks are always available, benefits and PTO are top notch). The job itself is also fulfilling."
162,Uber takes care of their worker. No cons,"The pay, benefits and off on Sundays"
163,"For this role as a recruiter - It's a hard job. Just trying to help people to understand that this is a great place to work can be a challenge. Also, the technical bar expected for hiring of engineers is high.","Really great community of people here at Uber. Everyone is very smart, thoughtful, and accepting here which is amazing. From day one your voice is heard, and your opinion is taken into consideration. The work life balance is amazing. Management here truly understands that there is a life outside work - And they encourage you to live it. The unlimited paid time off is actually used - No one ever gives you a hard time for taking a vacation or some time away for yourself. The support system is unmatched. Everyone truly cares about your success, and will always offer to help you out - whether personally or professionally."
164,Management\r\nTransparency\r\nGuidelines \r\nSalary\r\nEmployees structure\r\nHR structure,Exiting\r\nFlexibility\r\nTechnology \r\nYoungness\r\nBig bold Bets\r\nPerseverance
165,Getting paid could take long,There was never a dull moment
166,"Some groups are not part of the core Rideshare teams and are, as such, semi-isolated by communications and initiatives. But, to be fair, it's a huge, global company.","One of the core pillars the Executive Leadership Team focuses on is Employee Retention. I've never experienced that before. They spend a lot of effort working on ways to keep employees, happy, engaged, and recognized."
167,Low job salary\r\nSo many uber drivers,I got to know the city very well\r\nI got to meet new people
168,Not the best structure for learning &amp; development,Great company mission—will keep you motivated
169,I wish i could drive and be employed by UBER. I love them both,I love how many  people we help in the world
170,It's a low margin market and any new player with money can basically force all players to drop their margins and go all in with the price-war.,Good leadership turnaround from Dara. Love the company's general treatment of employees.
171,You need to be comfortable with uncertainty and things need to change every few months. If you are someone who needs a consistent structure this place is not for you.,It is clear that the leadership team at Uber cares about employee retention and general happiness. I am very happy with the transparent and non-hierarchical structure here.
172,It's in San Francisco.  Finding a place to stay in the city that is affordable is a challenge.,"Good pay, great benefits, good energy, engaging work, and amazing people."
173,Some of the processes can be very time consuming.,Helps supplement income in between jobs or during slow times.
174,The only opportunities for advancement that open up are in Sydney or overseas. Not a great place to work if you're looking to advance a career within Brisbane.  Roles are casual to start with and hours are not always freely available.,"Uber is a really supportive environment, particularly in the Brisbane office.  Management culture is fantastic and they really foster open channels of communication regarding performance. Positive and constructive feedback are both offered regularly. There's a real sense of respect from management towards employees. Customer service representatives are encouraged to put in 110% to make sure we are offering the best possible service, which makes taking pride in work easy to do. Great job to have around study or other life priorities that take a lot of time."
175,"Overtimes are possible, job security is low","A lot of interesting projects, piloting products."
176,"Get ready to become a professional at multi-tasking! Projects, Internal clubs, and training sessions on top of your daily work is a lot to take on!",Customers and Drivers are our top priority. Leading new initiatives to improve user experience has been a thrill. The Account Management Organization at Uber Freight is constantly changing making it an extremely exciting and fast paced environment that never gets boring!
177,Workload can be tensed during peak hours.,Management  is always there for help.
